fName,ind,categ,brain_val,activation,mean_act,sd_act,VV
neg_max_24.jpg,24,neg,pos,41.9001607800943,45.8366004534457,82.894577786058,5.396
neg_min_24.jpg,24,neg,neg,-624.495928454031,-553.032068143842,93.3979147436107,4.8462
neg_max_25.jpg,25,neg,pos,26.7596230741914,45.8366004534457,82.894577786058,4.7916
neg_min_25.jpg,25,neg,neg,-666.747605539922,-553.032068143842,93.3979147436107,5.2995
neg_max_26.jpg,26,neg,pos,-25.1522132799293,45.8366004534457,82.894577786058,4.1687
neg_min_26.jpg,26,neg,neg,-420.472786997231,-553.032068143842,93.3979147436107,4.2651
neg_max_27.jpg,27,neg,pos,38.8585319734439,45.8366004534457,82.894577786058,4.4606
neg_min_27.jpg,27,neg,neg,-468.228038938415,-553.032068143842,93.3979147436107,4.7228
neg_max_28.jpg,28,neg,pos,72.3741696856793,45.8366004534457,82.894577786058,5.2659
neg_min_28.jpg,28,neg,neg,-581.570282611202,-553.032068143842,93.3979147436107,4.5638
neg_max_29.jpg,29,neg,pos,128.688955503007,45.8366004534457,82.894577786058,4.5567
neg_min_29.jpg,29,neg,neg,-508.342636602807,-553.032068143842,93.3979147436107,4.6867
neg_max_30.jpg,30,neg,pos,-57.7205373836185,45.8366004534457,82.894577786058,5.2196
neg_min_30.jpg,30,neg,neg,-472.376206342098,-553.032068143842,93.3979147436107,5.192
neg_max_31.jpg,31,neg,pos,16.3996114845527,45.8366004534457,82.894577786058,4.875
neg_min_31.jpg,31,neg,neg,-451.552514563433,-553.032068143842,93.3979147436107,4.9302
neg_max_32.jpg,32,neg,pos,21.2170756151103,45.8366004534457,82.894577786058,5.067
neg_min_32.jpg,32,neg,neg,-648.567062703921,-553.032068143842,93.3979147436107,5.3182
neg_max_33.jpg,33,neg,pos,-15.1640933865975,45.8366004534457,82.894577786058,5.3025
neg_min_33.jpg,33,neg,neg,-410.246947811103,-553.032068143842,93.3979147436107,4.9863
neg_max_34.jpg,34,neg,pos,50.9348918102493,45.8366004534457,82.894577786058,5.0287
neg_min_34.jpg,34,neg,neg,-506.590038066932,-553.032068143842,93.3979147436107,5.0016
neg_max_35.jpg,35,neg,pos,-56.8316496011031,45.8366004534457,82.894577786058,4.6947
neg_min_35.jpg,35,neg,neg,-475.223633481958,-553.032068143842,93.3979147436107,4.5599
neg_max_36.jpg,36,neg,pos,145.579307042522,45.8366004534457,82.894577786058,4.9393
neg_min_36.jpg,36,neg,neg,-580.519481619347,-553.032068143842,93.3979147436107,4.6104
neg_max_37.jpg,37,neg,pos,-8.70153591444429,45.8366004534457,82.894577786058,4.9824
neg_min_37.jpg,37,neg,neg,-382.850565427129,-553.032068143842,93.3979147436107,5.1916
neg_max_38.jpg,38,neg,pos,40.6475542652934,45.8366004534457,82.894577786058,5.1472
neg_min_38.jpg,38,neg,neg,-547.599755968769,-553.032068143842,93.3979147436107,5.0993
neg_max_39.jpg,39,neg,pos,30.2562707024266,45.8366004534457,82.894577786058,5.8693
neg_min_39.jpg,39,neg,neg,-433.887736759745,-553.032068143842,93.3979147436107,4.8251
neg_max_40.jpg,40,neg,pos,117.680106611719,45.8366004534457,82.894577786058,4.7403
neg_min_40.jpg,40,neg,neg,-485.167113117718,-553.032068143842,93.3979147436107,5.7407
neg_max_41.jpg,41,neg,pos,241.535383998846,45.8366004534457,82.894577786058,4.9083
neg_min_41.jpg,41,neg,neg,-459.604464514062,-553.032068143842,93.3979147436107,4.9983
neg_max_42.jpg,42,neg,pos,-52.2255473066924,45.8366004534457,82.894577786058,4.9534
neg_min_42.jpg,42,neg,neg,-453.227695369376,-553.032068143842,93.3979147436107,4.75
neg_max_43.jpg,43,neg,pos,114.67054964004,45.8366004534457,82.894577786058,5.3406
